id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
96849312,5ADED224.flac,BCI03,2018,4,24,6,43,Contopus virens,Common Song,44.992,46.08533333333333,2718.75,4781.25,24000,(not validated),https://arbimon.rfcx.org/api/project/bci-panama-2018/recordings/download/3298282,0.47210181373708626,3094
96849313,5AD459AA.flac,BCI01,2018,4,16,8,7,Contopus virens,Common Song,52.432,53.525333333333336,2718.75,4781.25,24000,(not validated),https://arbimon.rfcx.org/api/project/bci-panama-2018/recordings/download/3357633,0.43617851401373386,3126
96849314,5ADED224.flac,BCI03,2018,4,24,6,43,Contopus virens,Common Song,10.725333333333333,11.818666666666667,2718.75,4781.25,24000,(not validated),https://arbimon.rfcx.org/api/project/bci-panama-2018/recordings/download/3298282,0.31395628781142837,3094
96849315,5AD783DB.flac,BCI32,2018,4,18,17,43,Contopus virens,Common Song,33.370666666666665,34.464,2718.75,4781.25,24000,(not validated),https://arbimon.rfcx.org/api/project/bci-panama-2018/recordings/download/3314508,0.44831302151400704,3108
96849316,5ADED224.flac,BCI03,2018,4,24,6,43,Contopus virens,Common Song,7.834666666666666,8.928,2718.75,4781.25,24000,(not validated),https://arbimon.rfcx.org/api/project/bci-panama-2018/recordings/download/3298282,0.28004137881651436,3094
96849317,5AD459AA.flac,BCI01,2018,4,16,8,7,Contopus virens,Common Song,43.77066666666666,44.864,2718.75,4781.25,24000,(not validated),https://arbimon.rfcx.org/api/project/bci-panama-2018/recordings/download/3357633,0.4359838089207566,3126
96849318,5AD783DB.flac,BCI32,2018,4,18,17,43,Contopus virens,Common Song,55.16266666666667,56.256,2718.75,4781.25,24000,(not validated),https://arbimon.rfcx.org/api/project/bci-panama-2018/recordings/download/3314508,0.39943954569780826,3108
96849319,5AD783DB.flac,BCI32,2018,4,18,17,43,Contopus virens,Common Song,57.952,59.04533333333333,2718.75,4781.25,24000,(not validated),https://arbimon.rfcx.org/api/project/bci-panama-2018/recordings/download/3314508,0.39593041598859086,3108
96849320,5AD459AA.flac,BCI01,2018,4,16,8,7,Contopus virens,Common Song,39.97866666666667,41.072,2718.75,4781.25,24000,(not validated),https://arbimon.rfcx.org/api/project/bci-panama-2018/recordings/download/3357633,0.41610108540680746,3126
96849321,5ADE0894.flac,BCI03,2018,4,23,16,23,Contopus virens,Common Song,9.253333333333334,10.346666666666666,2718.75,4781.25,24000,present,https://arbimon.rfcx.org/api/project/bci-panama-2018/recordings/download/3298381,0.5598093293293003,3094
96849322,5ADE0894.flac,BCI03,2018,4,23,16,23,Contopus virens,Common Song,51.38133333333333,52.474666666666664,2718.75,4781.25,24000,present,https://arbimon.rfcx.org/api/project/bci-panama-2018/recordings/download/3298381,0.5595081659635696,3094
96849323,5AD8333D.flac,BCI16,2018,4,19,6,12,Contopus virens,Common Song,29.050666666666668,30.144,2718.75,4781.25,24000,(not validated),https://arbimon.rfcx.org/api/project/bci-panama-2018/recordings/download/3314992,0.5311566991154123,3105
96849324,5ADE0894.flac,BCI03,2018,4,23,16,23,Contopus virens,Common Song,6.192,7.285333333333333,2718.75,4781.25,24000,(not validated),https://arbimon.rfcx.org/api/project/bci-panama-2018/recordings/download/3298381,0.532874120213579,3094
96849325,5AD8333D.flac,BCI16,2018,4,19,6,12,Contopus virens,Common Song,32.688,33.781333333333336,2718.75,4781.25,24000,(not validated),https://arbimon.rfcx.org/api/project/bci-panama-2018/recordings/download/3314992,0.520082535754356,3105
96849326,5AD8333D.flac,BCI16,2018,4,19,6,12,Contopus virens,Common Song,15.850666666666667,16.944,2718.75,4781.25,24000,(not validated),https://arbimon.rfcx.org/api/project/bci-panama-2018/recordings/download/3314992,0.4074950288764522,3105
96849327,5AE95269.flac,BCI04_2_dorms,2018,5,2,5,53,Contopus virens,Common Song,40.74666666666667,41.84,2718.75,4781.25,24000,not present,https://arbimon.rfcx.org/api/project/bci-panama-2018/recordings/download/3473710,0.24875638169467837,3191
96849328,5AD58DC3.flac,BCI70,2018,4,17,6,1,Contopus virens,Common Song,26.981333333333332,28.074666666666666,2718.75,4781.25,24000,(not validated),https://arbimon.rfcx.org/api/project/bci-panama-2018/recordings/download/3427156,0.24644531235840222,3159
96849329,5AD842AB.flac,BCI47,2018,4,19,7,18,Contopus virens,Common Song,27.082666666666668,28.176,2718.75,4781.25,24000,(not validated),https://arbimon.rfcx.org/api/project/bci-panama-2018/recordings/download/3378350,0.3797582119778682,3137
96849330,5AD58DC3.flac,BCI70,2018,4,17,6,1,Contopus virens,Common Song,51.93066666666667,53.024,2718.75,4781.25,24000,(not validated),https://arbimon.rfcx.org/api/project/bci-panama-2018/recordings/download/3427156,0.2440734252543207,3159
